source,target,five
8769,729,
8769,1745,
8769,2649,
8770,463,
8770,3170,
8770,3912,
8771,105,
8771,116,
8771,231,
8771,1888,
8771,3399,
8771,3441,
8772,147,
8772,1710,
8772,2299,
8772,2479,
8772,3759,
8772,5151,
8773,969,
8773,1315,
8773,2186,
8774,2479,
8774,3641,
8774,5151,
8775,411,
8775,2752,
8775,3890,
8776,365,
8776,809,
8776,2332,
8776,2353,
8776,2354,
8776,4937,
8777,468,
8777,482,
8777,499,
8777,618,
8777,1646,
8778,18,
8778,467,
8778,471,
8778,3642,
8779,1016,
8779,4313,
8780,26,
8781,4607,
8782,354,
8782,647,
8783,784,
8783,3657,
8784,369,
8784,1367,
8784,3401,
8785,701,
8786,13,
8786,884,
8786,2300,
8786,5152,
8787,40,
8787,53,
8787,267,
8788,379,
8788,798,
8788,980,
8788,1755,
8788,1939,
8788,4217,
8789,2097,
8789,2301,
8790,84,
8790,194,
8790,392,
8790,626,
8790,1525,
8790,2264,
8791,127,
8791,291,
8791,4468,
8792,2536,
8793,446,
8794,1514,
8795,169,
8795,304,
8795,1961,
8796,164,
8796,552,
8796,942,
8797,358,
8798,746,
8798,860,
8799,730,
8799,2569,
8799,2861,
8800,76,
8800,91,
8801,54,
8801,688,
8802,3450,
8803,2355,
8804,196,
8804,235,
8805,4820,
8806,2697,
8806,6278,
8807,1972,
8808,2205,
8808,2206,
8808,5828,
8809,1629,
8810,359,
8810,581,
8810,1356,
8810,1730,
8810,2886,
8811,1134,
8811,2382,
8811,3608,
8811,5203,
8812,93,
8813,1499,
8813,3583,
8813,3701,
8813,7351,
8814,401,
8814,944,
8814,2553,
8814,3690,
8815,5536,
8816,3851,
8817,5753,
8818,439,
8818,1520,
8818,1990,
8819,60,
8819,1712,
8819,2511,
8820,1485,
8820,2209,
8820,3229,
8820,3543,
8821,556,
8821,1252,
8821,1954,
8822,99,
8822,637,
8822,6047,
8823,4021,
8823,4184,
8824,1346,
8824,5031,
8825,110,
8825,214,
8825,3895,
8825,5515,
8825,5704,
8826,42,
8826,2504,
8826,2854,
8827,311,
8827,1579,
8827,2418,
8827,4522,
8828,1235,
8829,1023,
8829,4275,
8830,3876,
8831,1534,
8831,1811,
8831,2957,
8832,7,
8832,604,
8832,2494,
8832,3704,
8833,37,
8833,77,
8833,135,
8833,439,
8833,1024,
8834,85,
8834,165,
8834,742,
8834,1275,
8835,193,
8835,924,
8836,453,
8836,3509,
8836,3510,
8836,3544,
8837,305,
8837,5993,
8837,6102,
8838,4729,
8839,967,
8839,6777,
8840,41,
8840,144,
8840,1724,
8841,6,
8841,22,
8841,526,
8841,800,
8841,4831,
8842,224,
8842,246,
8843,431,
8844,225,
8845,706,
8846,200,
8846,210,
8846,1987,
8847,871,
8848,57,
8849,2537,
8849,4292,
8850,173,
8850,198,
8850,205,
8850,247,
8851,371,
8851,3255,
