id,conf,year,times,x,y,
0,1,2014,0,27.532007,15.865782,
1,1,2014,0,62.557148,-36.101074,
2,1,2014,0,46.556316,6.879743,
3,1,2014,0,58.907524,-37.05651,
4,1,2014,0,16.026148,-26.319489,
5,1,2014,0,42.36429,25.979284,
6,1,2014,0,29.288975,4.018637,
7,1,2014,0,46.090565,27.28027,
8,1,2014,0,37.807602,-6.959654,
9,1,2014,0,19.527561,-5.8622065,
10,1,2014,0,30.901657,-9.484316,
11,1,2014,1,59.059746,-9.168523,
12,1,2014,0,64.97735,13.651478,
13,1,2014,0,53.04002,3.8696918,
14,1,2014,0,22.25096,7.8816056,
15,1,2014,0,4.6662736,-7.8682914,
16,1,2014,0,55.83509,24.84118,
17,1,2014,0,27.51138,-28.635376,
18,1,2014,0,15.488788,39.96541,
19,1,2014,0,75.74978,-29.40113,
20,1,2014,0,56.472168,-4.4918237,
21,1,2014,0,70.27292,-37.063538,
22,1,2014,0,26.87439,-34.716164,
23,1,2014,0,47.158745,-23.926924,
24,1,2014,0,60.697865,-45.620037,
25,1,2014,0,17.910244,10.638909,
26,1,2014,0,29.699324,-30.826097,
27,1,2014,0,61.451664,-33.401028,
28,1,2014,0,22.801153,7.3616,
29,1,2014,0,40.689003,-18.259813,
30,1,2014,0,12.623235,-5.947007,
31,1,2014,0,55.428753,3.5289671,
32,1,2014,0,27.031336,-3.1699286,
33,1,2014,0,58.52336,-0.7154601,
34,1,2014,0,58.52016,-14.567899,
35,1,2014,0,64.24755,-17.704218,
36,1,2014,2,54.845367,-14.8856125,
37,1,2014,2,56.588566,-7.807736,
38,1,2014,0,52.28014,-9.31491,
39,1,2014,0,31.278584,-30.6502,
40,1,2014,0,25.474312,15.155406,
41,1,2014,0,10.493458,-1.2389871,
42,1,2014,0,53.30065,24.632421,
43,1,2014,0,67.12381,-21.664923,
44,1,2014,0,54.718487,28.615747,
45,1,2014,0,62.67399,-24.668165,
46,1,2014,0,48.55924,-5.641535,
47,1,2014,0,48.079227,-18.64226,
48,1,2014,0,8.620151,-2.4251196,
49,1,2014,0,37.9678,0.52773476,
50,1,2014,0,13.2791195,1.6744214,
51,1,2014,0,41.553116,-3.151569,
52,1,2014,0,13.149639,-3.5650396,
53,1,2014,0,18.523455,3.5666502,
54,2,2014,0,46.680904,-26.935614,
55,2,2014,0,49.013275,-26.438091,
56,2,2014,0,45.017097,-21.921642,
57,2,2014,0,51.45065,-25.309544,
58,2,2014,0,27.091923,-9.798128,
59,2,2014,0,73.717766,-1.1169633,
60,2,2014,0,73.4346,-2.786927,
61,2,2014,0,56.983864,-33.96635,
62,2,2014,0,40.362568,-37.27331,
63,2,2014,0,41.692318,3.3232207,
64,2,2014,0,48.554424,33.344597,
65,2,2014,0,33.70228,-13.511848,
66,2,2014,0,34.581684,-25.338406,
67,2,2014,0,35.45926,-24.86428,
68,2,2014,0,37.564137,-34.872047,
69,2,2014,0,11.520498,20.759201,
70,2,2014,0,40.87605,-5.938487,
71,2,2014,1,70.27328,-23.162983,
72,2,2014,0,53.59619,-40.359264,
73,2,2014,0,76.64515,-12.366342,
74,2,2014,0,58.073692,-28.063038,
75,2,2014,0,69.009026,-8.716789,
76,2,2014,0,28.553526,-19.687714,
