id,conf,year,times,x,y,
2225,SciVis,1996,1,5.894584,-42.289608,
0,VAST,2014,0,5.318761,-42.62918,
1795,InfoVis,2000,6,6.479648,-41.591103,
1150,VAST,2006,2,-14.99581,-54.528458,
2046,InfoVis,1998,3,5.402703,-41.831245,
1,VAST,2014,0,-0.26180634,-45.803497,
401,InfoVis,2011,4,-7.263642,-30.516665,
578,SciVis,2010,4,4.1748576,28.95131,
170,VAST,2013,3,-7.6384673,-30.567583,
1178,InfoVis,2005,27,-10.207738,-28.999437,
497,VAST,2011,11,-19.94703,-36.4847,
265,InfoVis,2012,3,-17.624866,-32.569183,
329,VAST,2012,6,-17.336008,-37.36005,
332,VAST,2012,14,-2.3268178,-41.729305,
1792,InfoVis,2000,19,-1.7487491,-46.572613,
528,InfoVis,2010,7,1.2457285,-56.064472,
766,VAST,2009,2,-3.1514199,-47.463806,
1506,InfoVis,2003,3,-3.6877484,-48.412685,
2036,InfoVis,1998,2,10.572487,-10.966658,
410,InfoVis,2011,19,-19.238121,-74.44173,
36,VAST,2014,2,-21.295094,-70.72218,
203,InfoVis,2013,4,-21.889286,-73.76072,
34,VAST,2014,0,-20.126377,-71.75749,
18,VAST,2014,0,1.0106034,-59.646637,
2026,InfoVis,1998,26,4.3846827,-34.02412,
594,SciVis,2010,3,-0.6453129,-26.75239,
61,InfoVis,2014,0,0.68034476,-50.432346,
139,VAST,2013,6,-19.62662,-23.298244,
336,VAST,2012,2,-0.5629374,-32.770298,
500,VAST,2011,7,-4.2932444,-28.278952,
331,VAST,2012,6,-14.257041,-37.544735,
539,InfoVis,2010,12,-33.1091,-38.368027,
53,VAST,2014,0,-16.248796,-32.76503,
175,VAST,2013,9,-20.389412,-76.79895,
11,VAST,2014,1,-25.249887,-72.81635,
1021,VAST,2007,50,-28.34151,-65.58246,
757,VAST,2009,4,-26.695559,-64.06334,
496,VAST,2011,6,-34.765797,-49.445084,
214,VAST,2013,3,0.07655539,-33.82863,
1019,VAST,2007,6,8.953182,-48.166935,
330,VAST,2012,0,8.032741,-48.14315,
886,VAST,2008,1,8.947296,-48.145535,
2,VAST,2014,0,-11.04734,-27.18306,
334,VAST,2012,3,-10.587127,-25.512033,
491,VAST,2011,7,-7.216448,-64.6803,
222,VAST,2013,3,-13.477545,-78.14625,
542,InfoVis,2010,11,-7.542027,-28.584904,
194,VAST,2013,1,-16.042685,-37.758442,
209,VAST,2013,1,16.364588,-22.94959,
