id,conf,year,times,x,y,
1795,InfoVis,2000,6,1.7113881,48.21515,
0,VAST,2014,0,-29.82208,-17.482172,
1,VAST,2014,0,-40.480907,-23.513336,
1792,InfoVis,2000,19,-12.983215,-21.746784,
2013,InfoVis,1998,10,-41.19331,-23.616459,
497,VAST,2011,11,-12.07049,-14.074399,
265,InfoVis,2012,3,-32.054382,6.622962,
32,VAST,2014,0,-12.277091,-12.546263,
364,VAST,2012,2,-11.056407,-20.777506,
1701,InfoVis,2001,16,-12.219045,-21.305817,
410,InfoVis,2011,19,3.2763915,-11.395748,
11,VAST,2014,1,0.13556886,-9.669997,
244,InfoVis,2012,5,-3.2263963,-4.1165385,
401,InfoVis,2011,4,30.317207,-43.102936,
578,SciVis,2010,4,-38.96939,-6.936608,
332,VAST,2012,14,-0.6683182,-35.444008,
13,VAST,2014,0,17.169731,-34.57991,
500,VAST,2011,7,30.390156,-41.93178,
542,InfoVis,2010,11,30.076344,-40.39546,
1165,VAST,2006,7,29.164564,-40.79114,
170,VAST,2013,3,-32.408974,5.4788437,
832,SciVis,2008,10,-33.181686,5.122564,
175,VAST,2013,9,18.089071,-34.535915,
89,InfoVis,2014,2,18.996992,-33.97207,
1021,VAST,2007,50,-48.38794,-17.059301,
326,VAST,2012,5,-47.304276,-20.582348,
2303,InfoVis,1995,46,-47.83753,-23.488697,
1019,VAST,2007,6,-45.813366,-20.615412,
886,VAST,2008,1,-46.19436,-23.312172,
2,VAST,2014,0,27.073643,33.08176,
173,InfoVis,2013,3,28.005497,32.8329,
2381,SciVis,1993,11,26.26034,32.749428,
1178,InfoVis,2005,27,31.694674,-39.546875,
329,VAST,2012,6,34.633343,9.2446995,
194,VAST,2013,1,35.150543,8.516445,
1028,VAST,2007,9,-35.496815,-12.3792,
147,SciVis,2013,2,29.4331,-39.67214,
334,VAST,2012,3,28.279295,-39.13433,
3,VAST,2014,0,-46.775898,-15.658516,
370,VAST,2012,4,-46.21772,-16.18167,
1068,InfoVis,2006,7,-47.060913,-15.731172,
196,VAST,2013,3,-45.107933,-21.706833,
802,InfoVis,2008,13,-44.805107,-15.526192,
615,VAST,2010,4,-48.5126,-21.953003,
659,InfoVis,2009,2,-46.92966,-21.700104,
2038,SciVis,1998,6,-38.247337,-26.23438,
2243,SciVis,1995,4,-36.820065,-26.22898,
1694,InfoVis,2001,6,-39.16195,-25.78529,
743,VAST,2009,8,46.625343,31.96565,
269,InfoVis,2012,5,46.614143,33.153355,
513,VAST,2011,6,44.362255,32.319824,
267,InfoVis,2012,4,36.325123,9.666405,
7,VAST,2014,0,36.022,8.78837,
200,InfoVis,2013,4,36.471565,9.111594,
250,InfoVis,2012,9,-1.9874599,-31.45938,
475,VAST,2011,6,-2.758211,-30.692408,
1709,SciVis,2001,4,23.84044,50.07974,
5,VAST,2014,0,34.03401,37.756763,
254,InfoVis,2012,3,-13.892687,5.803345,
544,InfoVis,2010,8,-15.655207,8.970568,
944,InfoVis,2007,4,-43.711483,-4.263086,
6,VAST,2014,0,-43.00055,-2.0031648,
138,InfoVis,2013,6,-42.957794,-26.233782,
1970,InfoVis,1998,23,-40.0198,-16.392982,
1183,InfoVis,2005,31,-35.297436,-7.625186,
941,InfoVis,2007,29,-38.695404,-9.148539,
1146,VAST,2006,5,-36.6573,-8.770448,
660,InfoVis,2009,13,-22.637121,8.319154,
2556,SciVis,1990,27,-22.36643,9.857088,
384,InfoVis,2011,27,-28.678905,-22.18588,
28,VAST,2014,0,27.921652,33.58743,
532,InfoVis,2010,1,-42.90198,-1.8449665,
675,InfoVis,2009,13,44.584023,-13.36928,
134,InfoVis,2013,5,0.95910084,-48.10082,
2423,SciVis,1992,10,0.3009318,-48.514305,
2547,SciVis,1990,1,1.2190163,-47.66212,
877,VAST,2008,8,9.7276745,-37.623154,
187,VAST,2013,1,8.911953,-38.550953,
387,InfoVis,2011,4,9.381777,-36.910538,
227,VAST,2013,6,10.506903,-43.63697,
382,InfoVis,2011,4,-35.34848,-16.503613,
201,VAST,2013,2,43.644707,34.49617,
1341,InfoVis,2004,21,46.5078,36.36562,
209,VAST,2013,1,-29.02609,19.672775,
1558,SciVis,2003,12,-28.957083,19.422674,
1607,SciVis,2002,3,-29.558722,19.296125,
1264,SciVis,2005,14,35.64268,10.04042,
935,InfoVis,2007,26,46.35479,-16.42987,
1151,VAST,2006,12,47.828976,-14.871647,
388,InfoVis,2011,2,-6.3965573,-15.598468,
8,VAST,2014,0,-7.1217785,-15.62268,
1064,InfoVis,2006,27,-5.4896693,-16.314425,
496,VAST,2011,6,2.424661,-31.073511,
1054,InfoVis,2006,13,1.5333658,-31.209667,
665,InfoVis,2009,4,-8.460702,-16.342176,
396,InfoVis,2011,3,-7.7311826,-16.025818,
1873,InfoVis,1999,19,-30.585218,11.606964,
337,VAST,2012,2,-7.905609,14.117905,
680,InfoVis,2009,3,-31.592344,11.8456,
1194,InfoVis,2005,7,-37.38536,37.114735,
1470,SciVis,2003,1,-37.36549,37.528698,
509,VAST,2011,6,-37.378426,37.29109,
1153,VAST,2006,5,-9.484273,-20.33624,
2228,InfoVis,1996,8,-9.298699,-19.74478,
9,VAST,2014,0,-9.479497,-20.362572,
654,InfoVis,2009,23,3.9200933,-48.475056,
467,VAST,2011,1,3.0037785,-46.48153,
245,InfoVis,2012,19,8.775301,-47.367153,
224,InfoVis,2013,1,26.844618,19.357264,
2213,SciVis,1996,11,28.802107,18.75675,
491,VAST,2011,7,-1.5759914,-11.818671,
230,InfoVis,2013,1,-2.5212855,-14.106737,
761,VAST,2009,2,-0.33241415,-12.0130205,
946,InfoVis,2007,10,-0.10047515,-12.804588,
673,InfoVis,2009,13,8.429648,-19.157516,
538,InfoVis,2010,1,8.355335,-19.540113,
51,VAST,2014,0,8.081581,-18.77547,
942,InfoVis,2007,15,-4.34531,-24.268122,
2525,SciVis,1991,60,-1.374372,-25.311916,
657,InfoVis,2009,18,13.948258,-36.928085,
29,VAST,2014,0,-11.884935,4.9018025,
1070,InfoVis,2006,5,-12.11258,2.2648227,
232,InfoVis,2013,1,-2.7742271,-9.278509,
620,VAST,2010,4,-2.3011682,-8.356784,
274,InfoVis,2012,1,-0.92068624,10.397598,
690,SciVis,2009,7,-1.4373578,11.769617,
220,VAST,2013,7,15.702029,-35.009068,
277,InfoVis,2012,8,14.973451,-34.18491,
273,InfoVis,2012,2,-1.2357333,-8.921746,
206,VAST,2013,7,18.7803,-34.89292,
214,VAST,2013,3,-38.713993,8.443898,
522,InfoVis,2010,10,13.830774,-32.28657,
34,VAST,2014,0,13.543839,-33.611824,
36,VAST,2014,2,1.643475,-6.778314,
819,InfoVis,2008,16,-0.16201289,-7.1736155,
47,VAST,2014,0,-7.3116574,14.997313,
12,VAST,2014,0,-6.2334533,14.969932,
547,InfoVis,2010,6,15.966654,-34.314434,
524,InfoVis,2010,10,-13.132501,-11.058938,
736,SciVis,2009,4,-4.6276298,15.153522,
298,SciVis,2012,2,3.2219918,24.565681,
45,VAST,2014,0,14.431603,-35.520775,
139,VAST,2013,6,29.676556,-38.199654,
607,VAST,2010,8,-4.588639,-9.147559,
742,VAST,2009,5,-21.681591,4.5524898,
968,SciVis,2007,6,-31.741232,5.9271307,
14,VAST,2014,0,-31.52699,5.6172805,
189,SciVis,2013,2,-17.078283,-12.550526,
948,InfoVis,2007,10,-19.306849,-13.421716,
15,VAST,2014,0,-28.923447,18.316093,
2566,SciVis,1990,66,-24.520056,12.119857,
1586,InfoVis,2002,20,-23.351725,9.770354,
1185,InfoVis,2005,9,-25.294447,9.738547,
2348,SciVis,1994,43,-29.175886,9.276946,
215,VAST,2013,3,-24.91637,-0.38017094,
366,VAST,2012,1,-23.775034,-1.5537935,
30,VAST,2014,0,-22.468119,-0.040351864,
507,VAST,2011,2,-32.309517,12.532365,
1289,InfoVis,2004,17,5.2752542,-32.775986,
16,VAST,2014,0,44.550293,33.340096,
847,SciVis,2008,9,31.201675,-39.804768,
1781,InfoVis,2000,22,-30.151463,-23.094904,
17,VAST,2014,0,-29.816586,-24.357462,
2091,InfoVis,1997,23,-30.089321,-25.68008,
1691,InfoVis,2001,2,-29.827263,-26.784195,
1023,VAST,2007,6,5.695736,-47.28625,
2542,SciVis,1990,21,6.02895,-45.143764,
1422,InfoVis,2004,24,47.859615,-18.912329,
613,VAST,2010,2,2.1578872,-30.518263,
159,VAST,2013,1,-5.2280235,-25.481882,
2440,SciVis,1992,6,-5.171471,-26.21711,
18,VAST,2014,0,45.23205,34.017723,
229,InfoVis,2013,1,-18.579086,22.116793,
1479,InfoVis,2003,2,-19.110287,21.383663,
1007,VAST,2007,11,42.847477,33.94086,
184,InfoVis,2013,3,0.58877635,-6.210983,
