id,x,y,year,country,people,tech,counts
8769,60.666107,43.075333,1975,US,6,6,5
1745,60.34501,42.756573,1971,US,6,6,0
10492,59.998253,42.513268,1975,US,2,6,9
729,60.517487,42.810947,1968,US,4,6,0
6718,60.224754,42.673435,1974,US,1,6,0
2649,61.952114,44.322044,1972,US,1,6,0
9684,61.75478,44.47969,1975,US,6,6,8
4256,62.7682,44.309837,1973,US,2,5,0
8770,-31.436275,-44.75985,1975,US,1,6,4
17928,-31.57015,-44.73493,1977,US,1,6,7
12156,-31.568552,-44.74729,1975,DE,1,5,4
463,-31.526445,-44.744038,1967,US,2,6,0
3170,-31.619143,-44.751175,1972,US,1,6,0
3912,-29.688465,-44.761944,1972,US,1,6,0
15309,-29.660965,-44.738277,1976,US,6,6,5
11364,-29.66941,-44.737644,1975,US,1,3,9
116,53.804855,-25.550549,1964,US,2,6,0
8771,53.825558,-25.551435,1975,FR,3,6,7
3399,53.828587,-25.55122,1972,US,2,6,0
231,53.808052,-25.55415,1965,US,2,6,0
1888,53.80434,-25.553097,1971,US,2,6,0
9585,53.84202,-25.547512,1975,FR,3,6,9
3675,53.842506,-25.55422,1972,US,2,6,0
3441,11.105385,-5.579699,1972,US,2,1,0
9239,11.278261,-5.843551,1975,US,2,1,13
5019,11.210839,-5.742427,1973,US,2,1,0
8772,-48.78712,22.246937,1975,US,2,3,7
2299,-48.750996,22.276234,1971,US,2,3,0
18828,-48.740826,22.285408,1977,US,1,3,5
147,-41.856934,7.761927,1965,US,1,3,0
14234,-41.845016,7.6109123,1976,US,1,1,6
218,-41.845345,7.66508,1965,US,2,5,0
1710,-49.205086,22.062845,1971,US,1,3,0
9838,-49.358997,22.008802,1975,US,1,6,5
4423,-49.386127,21.991892,1973,US,2,6,0
2479,53.062878,-45.715847,1971,US,1,3,0
8774,53.066418,-45.72328,1975,US,1,3,5
3641,53.06767,-45.722824,1972,US,1,3,0
3759,-48.241257,22.752804,1972,US,1,3,0
5151,-48.786903,22.28005,1973,US,2,3,0
969,-28.356564,-38.041733,1969,US,1,3,0
13629,-28.357777,-38.082973,1976,US,1,3,9
2096,-28.355846,-38.06634,1971,LB,2,3,0
1315,-28.329147,-37.67999,1970,US,4,3,0
8773,-28.346876,-37.834988,1975,US,1,3,3
2186,-28.34948,-37.890182,1971,US,2,5,0
12782,53.065273,-45.722984,1976,US,2,3,3
8775,46.208706,9.0106535,1975,US,1,3,4
2752,46.210545,9.013736,1972,US,1,3,0
17572,46.21143,9.013706,1977,US,1,6,5
411,46.21157,9.015692,1967,AU,5,3,0
3890,46.21461,9.017955,1972,US,1,3,0
8776,17.163591,-4.4189973,1975,US,1,6,7
12320,17.15173,-4.4065247,1976,JP,3,6,11
9189,17.155289,-4.4151254,1975,US,2,6,9
365,-70.31288,-64.4768,1966,US,2,6,0
15390,-70.31158,-64.476906,1976,US,1,6,7
2584,-70.31231,-64.47589,1971,US,2,6,0
809,17.154152,-4.413976,1968,US,1,6,0
2332,17.15409,-4.4140663,1971,US,1,6,0
2353,17.15516,-4.4143147,1971,US,1,6,0
2354,17.154425,-4.412427,1971,US,1,6,0
4937,17.15433,-4.412984,1973,GB,1,6,0
8777,-69.473305,64.19554,1975,US,1,6,8
618,-69.50324,64.35013,1968,US,1,6,0
16820,-69.51023,64.38694,1977,US,1,6,5
468,-69.51616,64.352745,1967,US,1,6,0
482,-69.304184,63.533974,1967,US,1,6,0
12452,-69.27922,63.437546,1976,US,1,6,4
2051,-69.272354,63.413483,1971,US,1,6,0
499,-69.49482,64.28613,1967,US,1,6,0
10946,-69.506874,64.35859,1975,US,1,5,9
8778,-44.68348,-52.78549,1975,US,2,6,7
471,-45.225826,-55.236355,1967,US,1,6,0
10196,-45.26711,-55.37432,1975,US,1,6,6
18,-44.67262,-52.66533,1963,US,2,6,0
467,-43.32632,-50.983437,1967,US,4,6,0
9473,-43.529095,-50.193996,1975,US,2,6,8
1015,-43.53694,-50.18319,1969,SE,3,6,0
1462,-45.26537,-55.264984,1970,US,1,6,0
3642,-45.25603,-52.50283,1972,US,2,6,0
1016,23.284674,4.57413,1969,US,1,6,0
8779,23.281462,4.5851507,1975,US,1,6,8
12020,23.28918,4.576868,1975,US,1,6,4
26,-20.926956,36.833706,1963,US,1,6,0
8780,-20.928402,36.83387,1975,CA,1,6,5
16999,-20.931593,36.834503,1977,US,2,6,6
8781,30.673819,-33.039898,1975,US,1,6,3
4607,30.68172,-33.035313,1973,CA,1,6,0
11570,30.676844,-33.034603,1975,CA,1,6,7
8782,-1.0729784,31.840511,1975,US,1,6,4
354,-1.103354,31.860317,1966,CA,3,6,0
11130,-1.1495826,31.890379,1975,US,2,6,4
647,-1.0621705,31.838129,1968,US,1,6,0
784,27.046268,-76.33285,1968,FR,3,6,0
8783,27.04729,-76.332016,1975,US,1,6,4
15817,27.04612,-76.330284,1976,US,1,6,10
3657,27.04669,-76.3352,1972,US,2,6,0
19137,27.046303,-76.33231,1977,US,1,6,5
369,10.682709,-42.428783,1966,US,2,6,0
8784,10.682479,-42.428577,1975,US,1,6,5
3401,10.682439,-42.435886,1972,US,2,6,0
1367,10.68318,-42.430588,1970,US,2,6,0
8785,32.50169,34.74802,1975,US,2,1,1
701,32.49836,34.743748,1968,DE,3,1,0
13409,32.492214,34.742264,1976,US,2,1,2
5187,32.49703,34.744076,1973,US,2,1,0
13,-62.039516,3.3811886,1963,US,2,5,0
8786,-62.068737,3.3656847,1975,US,1,5,9
14277,-62.115864,3.3141592,1976,US,1,5,6
884,-63.114883,2.5224342,1969,GB,3,5,0
2300,56.40133,11.303637,1971,US,1,5,0
9932,56.74443,11.200608,1975,US,1,5,5
2585,56.781654,11.189869,1971,US,1,5,0
5152,-62.069714,3.354386,1973,US,1,5,0
40,42.958195,-70.395325,1963,US,2,5,0
8787,42.96433,-70.400314,1975,JP,1,5,3
267,42.962444,-70.40007,1966,US,2,5,0
53,42.96023,-70.39628,1964,US,1,5,0
379,49.03904,-7.7857947,1966,US,2,5,0
14452,49.041096,-7.940303,1976,US,2,5,9
5457,49.043926,-7.923166,1973,US,2,5,0
798,42.40067,-39.91738,1968,US,2,1,0
11817,42.035686,-41.478104,1975,JP,3,1,9
2781,42.062977,-41.351517,1972,GB,3,1,0
980,-20.855352,29.746546,1969,US,2,1,0
10613,-20.953997,29.749918,1975,US,2,1,6
1529,-20.935396,29.750992,1970,US,2,1,0
1755,48.97946,-8.078948,1971,US,2,1,0
8788,48.799828,-8.544728,1975,US,2,5,6
1939,-4.0828633,40.12624,1971,US,2,5,0
16476,-4.082336,40.127502,1977,US,2,1,12
8705,-4.084785,40.135387,1974,US,2,1,0
4217,42.297176,-40.02838,1973,US,2,1,0
8789,75.00118,41.517056,1975,SU,1,6,2
2301,75.00179,41.512863,1971,US,2,6,0
14194,75.00569,41.51842,1976,IT,3,6,4
2097,75.00819,41.51978,1971,US,2,6,0
84,-5.7622147,-86.183426,1964,US,2,6,0
10948,-5.752172,-86.271164,1975,US,2,6,7
1295,-5.738357,-86.27389,1970,US,2,6,0
194,-4.4574757,-86.61818,1965,US,2,6,0
8790,-4.508091,-86.61447,1975,US,2,6,6
2264,-4.43002,-86.62298,1971,US,2,6,0
392,-4.4615855,-86.614426,1967,US,2,6,0
626,-4.4611278,-86.61728,1968,US,2,6,0
1525,-4.9939294,-86.48629,1970,US,2,6,0
127,-60.095516,63.07096,1965,US,1,6,0
8791,-60.098217,63.070824,1975,US,1,6,4
4468,-60.095478,63.071587,1973,US,1,6,0
291,-60.09548,63.071434,1966,US,1,6,0
8792,14.0198,-90.353935,1975,US,1,6,3
2536,14.0248165,-90.35099,1971,US,1,6,0
14279,14.01901,-90.355064,1976,US,1,5,6
8794,104.346924,3.9503918,1975,US,2,5,4
1514,104.346054,3.9547572,1970,GB,2,6,0
10377,104.347275,3.957407,1975,US,2,6,6
169,-70.97992,24.206778,1965,US,2,5,0
8795,-70.9755,24.20008,1975,US,2,5,6
304,-70.974976,24.199947,1966,US,2,5,0
9938,-70.98273,24.204739,1975,US,2,6,10
15820,-70.974724,24.202053,1976,US,2,6,6
1961,-70.98306,24.20931,1971,US,2,6,0
164,-32.528362,-57.618183,1965,GB,3,5,0
8796,-32.537685,-57.606712,1975,GB,1,5,8
942,-32.533115,-57.609097,1969,US,1,5,0
552,-32.531048,-57.616165,1967,US,4,5,0
8798,-38.20715,-39.68141,1975,US,2,6,5
15621,-38.21728,-39.721523,1976,DE,3,1,2
10986,-38.203117,-39.669487,1975,US,2,1,5
746,-38.195007,-39.644264,1968,US,2,1,0
860,-38.175266,-39.59759,1969,US,2,6,0
730,-71.20129,-14.644349,1968,US,1,5,0
8799,-71.201096,-14.646041,1975,US,2,5,4
2569,-71.20495,-14.645233,1971,US,2,6,0
2861,-71.19907,-14.645378,1972,US,2,5,0
8800,-38.086704,-28.117392,1975,US,2,1,11
76,-38.08661,-28.11805,1964,US,2,4,0
9583,-38.09021,-28.123056,1975,JP,3,4,4
91,-38.08847,-28.122072,1964,US,2,4,0
54,28.290966,-20.69832,1964,FR,2,1,0
8801,28.288343,-20.698513,1975,US,1,1,4
688,28.291052,-20.697178,1968,US,1,1,0
8802,42.490913,-22.04431,1975,US,6,1,1
3450,42.50995,-22.047306,1972,US,6,1,0
18126,42.505154,-22.041162,1977,US,6,6,6
16822,42.493694,-22.03465,1977,CA,3,1,4
4995,42.486362,-22.044485,1973,JP,3,6,0
8803,-52.795486,48.939392,1975,DE,3,1,5
2355,-52.79413,48.937748,1971,JP,3,1,0
18115,-52.79544,48.938076,1977,DE,3,1,8
8804,-62.5558,41.6277,1975,SE,3,6,4
196,-62.55707,41.626793,1965,SE,3,6,0
10950,-62.555958,41.626026,1975,US,1,6,6
4020,-62.556236,41.625076,1973,US,1,5,0
235,-62.55583,41.626026,1965,US,2,6,0
