id,x,y,year,country,people,tech,counts
761,-25.715916,-79.721214,1975,US,6,6,0
430,-25.718262,-79.72035,1971,US,6,6,1
3784,-24.055908,-72.16177,1994,US,2,6,0
276,35.146175,-57.525032,1968,US,4,6,1
833,15.734422,12.114476,1975,US,1,5,0
509,-12.989349,-38.2982,1972,US,1,6,1
2015,-19.049915,-61.407,1985,US,1,6,0
3083,-20.382896,-62.361343,1991,US,1,6,0
4112,-21.184423,-62.00194,1996,US,1,6,0
3436,-21.252432,-61.920612,1992,US,1,6,0
3986,-24.243502,-62.063267,1995,US,1,6,0
4715,-28.191195,-65.80291,1998,US,1,6,0
3138,-27.052498,-65.70024,1991,TW,1,6,0
4658,-26.95921,-65.37404,1998,US,1,6,0
2236,18.354767,10.168249,1987,US,1,6,0
4855,18.368113,10.188671,1999,IL,1,6,0
1906,18.788189,11.56861,1984,US,4,6,0
993,35.229115,33.728397,1976,US,1,6,0
2766,-40.276295,-66.62736,1989,US,1,6,0
4297,-49.302002,-65.3269,1997,US,1,2,0
4625,-50.42077,-65.62951,1998,US,1,6,0
1338,88.799576,-27.493908,1980,US,1,5,0
4888,38.984188,-33.222202,1999,US,1,6,0
1865,-20.70275,-61.64967,1984,US,1,6,0
4844,-24.384468,-62.294525,1999,US,1,6,0
1427,-18.38439,-35.600384,1980,US,1,6,0
1653,34.81227,-12.271309,1982,US,1,6,0
3084,0.2110345,-53.821346,1991,US,1,6,0
4313,-0.57077193,-52.711285,1997,US,1,5,0
2190,-38.22285,-42.259014,1986,US,1,6,0
4356,-38.167618,-42.39991,1997,US,1,2,0
1848,-37.563873,-42.76379,1984,US,1,6,0
3034,-39.220856,-40.919636,1991,US,1,6,0
3596,-39.418846,-40.94769,1993,US,1,6,0
1837,-31.351082,-34.81621,1984,US,2,6,0
2620,25.876701,-59.14697,1989,US,1,6,0
4627,23.753794,-58.23897,1998,US,1,6,0
1040,25.587019,-56.414146,1977,US,1,5,0
2894,26.69257,-58.58864,1990,US,1,6,0
4913,26.068079,-58.644783,1999,US,1,6,0
3776,26.07647,-58.59931,1994,US,1,6,0
4027,26.069695,-57.81532,1995,US,1,6,0
3678,5.5728517,-76.753586,1994,US,2,6,0
3091,11.431703,-61.001007,1991,US,1,6,0
4619,11.241394,-61.043243,1998,US,1,6,0
1529,10.59824,-61.41556,1981,US,1,6,0
4033,12.219215,-60.891792,1995,HK,1,6,0
3467,9.868831,-60.632587,1992,US,1,6,0
4248,9.293792,-60.389687,1996,ZA,5,6,0
2495,-21.771353,-61.02092,1988,US,1,6,0
3768,-21.333447,-62.17233,1994,US,1,6,0
4466,-21.627438,-63.00061,1997,US,1,6,0
4240,-27.977991,-56.36322,1996,US,1,6,0
5008,-27.966469,-56.233124,1999,US,1,6,0
829,-14.373651,-55.01546,1975,US,2,6,0
2342,34.201565,4.1466064,1987,US,2,6,0
