id,x,y,year,country,people,tech,counts
761,66.87048,-35.65338,1975,US,6,6,0
276,74.029945,-26.326704,1968,US,4,6,1
430,71.553444,-32.308914,1971,US,6,6,1
509,36.910248,-56.115726,1972,US,1,6,1
833,35.388462,-58.18908,1975,US,1,5,0
993,35.501728,-57.80376,1976,US,1,6,0
1338,33.570675,20.473606,1980,US,1,5,0
1427,23.822329,18.45244,1980,US,1,6,0
1653,22.731348,17.203724,1982,US,1,6,0
2190,6.240721,-50.54671,1986,US,1,6,0
2620,10.49274,-52.332363,1989,US,1,6,0
2894,12.293256,-53.328297,1990,US,1,6,0
3091,12.280624,-53.325214,1991,US,1,6,0
3436,-18.66083,-82.351906,1992,US,1,6,0
4112,-16.497835,-82.47878,1996,US,1,6,0
829,-17.72571,-82.73613,1975,US,2,6,0
1155,66.848274,-35.687035,1978,US,1,6,0
1761,37.91732,-56.74237,1983,GB,1,6,0
1865,35.19071,-58.532803,1984,US,1,6,0
1913,32.264774,20.04969,1984,US,2,6,0
2512,32.638847,20.102232,1988,US,2,6,0
2682,33.802677,22.433275,1989,US,2,6,0
3083,33.85972,22.55247,1991,US,1,6,0
3242,60.555763,28.042734,1991,US,2,6,0
3784,60.51479,28.119738,1994,US,2,6,0
3871,-69.91581,21.789984,1994,US,2,6,0
793,33.56709,18.957876,1975,US,6,6,0
1906,34.98352,20.399805,1984,US,4,6,0
2015,35.094234,20.437035,1985,US,1,6,0
2237,55.726357,34.96954,1987,US,1,5,0
2503,59.217213,6.486421,1988,FR,2,6,0
3168,83.98687,-7.6349106,1991,US,1,6,0
3235,83.36329,-7.2632527,1991,US,1,6,0
4538,82.67472,-7.089219,1998,US,1,6,0
667,40.151123,-33.192024,1974,US,1,6,1
2236,41.71505,-32.376324,1987,US,1,6,0
2298,47.380836,-39.817017,1987,US,2,6,0
2528,49.626347,-44.465717,1988,US,2,6,0
3845,50.697258,-44.79722,1994,US,2,6,0
4187,50.713028,-44.772194,1996,US,2,6,0
391,69.38909,18.65631,1970,US,2,6,1
434,69.273285,18.759996,1971,US,2,6,1
2766,69.03137,18.852636,1989,US,1,6,0
3495,57.977734,7.2754035,1993,US,2,6,0
3517,42.817043,-53.507286,1993,US,2,6,0
4205,41.801533,-55.092957,1996,US,2,6,0
4233,-13.905462,-81.41368,1996,US,2,6,0
4290,-13.307315,-80.60481,1997,US,2,5,0
4832,-13.256159,-78.9498,1999,SE,3,6,0
230,69.081184,-4.538151,1967,US,2,5,1
304,59.86805,-7.349688,1969,US,2,5,1
320,59.448067,-7.383766,1969,US,2,6,1
525,58.812466,-8.282992,1972,US,2,6,1
727,30.46321,-20.805779,1974,GB,7,6,1
870,30.340189,-20.123367,1975,US,6,6,0
946,30.620342,-19.866432,1976,US,1,6,0
964,36.58306,-55.462208,1976,US,1,6,0
1130,33.300568,20.329561,1977,US,2,6,0
2118,36.56998,-55.423306,1986,US,2,1,0
2128,-11.901362,-83.763245,1986,DE,3,1,0
2451,-12.07251,-83.42541,1988,US,1,6,0
2627,-12.104344,-82.98563,1989,US,2,6,0
2888,-12.640115,-82.13352,1990,US,2,5,0
2976,-76.71126,21.218525,1990,US,6,5,0
3225,-77.26466,21.757431,1991,US,1,6,0
3278,-77.37125,22.393045,1992,CA,5,6,0
3333,-5.754287,53.30633,1992,CA,5,6,0
3399,-5.737918,53.310165,1992,US,2,6,0
3471,-5.551234,53.615013,1992,US,2,6,0
3852,47.318478,-45.15229,1994,CA,5,6,0
3911,46.835655,-45.224136,1995,AU,3,1,0
3930,46.978024,-45.191044,1995,US,2,5,0
3997,53.041943,-12.937381,1995,US,1,6,0
4011,39.97353,-32.779465,1995,US,1,6,0
4012,41.70403,-32.398563,1995,US,1,6,0
4034,51.211033,-42.342766,1995,US,3,1,0
4185,51.19653,-42.32254,1996,US,2,5,0
4210,50.669735,-42.422474,1996,US,1,1,0
4404,50.59924,-42.382828,1997,US,1,6,0
