id,x,y,year,country,people,tech,counts
761,9.490733,-15.753138,1975,US,6,6,0
276,8.90659,-15.633269,1968,US,4,6,1
430,8.2176285,-15.334355,1971,US,6,6,1
509,35.3348,-42.384724,1972,US,1,6,1
833,9.577905,-15.777009,1975,US,1,5,0
993,87.76777,5.453974,1976,US,1,6,0
1338,69.86773,-0.70399433,1980,US,1,5,0
1427,17.654833,0.5911296,1980,US,1,6,0
1653,31.985674,-68.1093,1982,US,1,6,0
2190,51.11708,-38.62285,1986,US,1,6,0
2620,10.424426,-34.237537,1989,US,1,6,0
2894,-34.318115,-68.9829,1990,US,1,6,0
3091,-38.381313,-70.85412,1991,US,1,6,0
3436,22.521149,-5.198597,1992,US,1,6,0
4112,23.017057,-4.418436,1996,US,1,6,0
829,27.344332,-1.1860528,1975,US,2,6,0
1155,53.574123,-12.666204,1978,US,1,6,0
1761,54.28859,-53.75169,1983,GB,1,6,0
1865,13.06644,22.814157,1984,US,1,6,0
1913,26.247322,25.136984,1984,US,2,6,0
2512,17.998083,61.967693,1988,US,2,6,0
2682,14.255978,60.029434,1989,US,2,6,0
3083,13.600623,60.34045,1991,US,1,6,0
3242,5.528413,61.135204,1991,US,2,6,0
3784,10.301631,59.983887,1994,US,2,6,0
3871,10.313417,59.066147,1994,US,2,6,0
793,10.293489,58.79053,1975,US,6,6,0
1906,62.109974,34.56776,1984,US,4,6,0
2015,62.302044,34.889477,1985,US,1,6,0
2237,62.13247,35.24832,1987,US,1,5,0
2503,61.85918,35.359573,1988,FR,2,6,0
3168,62.6223,35.036907,1991,US,1,6,0
3235,54.553745,35.779125,1991,US,1,6,0
4538,54.009384,35.81705,1998,US,1,6,0
667,16.607971,72.83628,1974,US,1,6,1
2236,20.99795,70.64356,1987,US,1,6,0
2298,21.337626,70.31116,1987,US,2,6,0
2528,22.1337,69.96946,1988,US,2,6,0
3845,20.585005,66.550156,1994,US,2,6,0
4187,20.546759,66.46253,1996,US,2,6,0
391,17.85196,62.2726,1970,US,2,6,1
434,30.621948,37.558598,1971,US,2,6,1
2766,30.32623,37.01437,1989,US,1,6,0
3495,70.274414,15.697933,1993,US,2,6,0
3517,70.32783,15.63569,1993,US,2,6,0
4205,70.3834,15.542155,1996,US,2,6,0
4233,5.8789186,46.675816,1996,US,2,6,0
4290,5.9933357,46.39847,1997,US,2,5,0
4832,10.293471,-33.415974,1999,SE,3,6,0
230,10.510908,-33.85456,1967,US,2,5,1
304,23.709066,45.695805,1969,US,2,5,1
320,23.654034,45.55983,1969,US,2,6,1
525,12.466679,-16.985853,1972,US,2,6,1
727,31.016262,9.797494,1974,GB,7,6,1
870,35.638428,2.9150193,1975,US,6,6,0
946,25.204365,59.48195,1976,US,1,6,0
964,23.27806,5.0498533,1976,US,1,6,0
1130,19.800661,45.29505,1977,US,2,6,0
2118,23.568264,8.7931185,1986,US,2,1,0
2128,19.086252,8.5345745,1986,DE,3,1,0
2451,73.6595,47.730164,1988,US,1,6,0
2627,74.32539,47.56718,1989,US,2,6,0
2888,74.767426,47.272736,1990,US,2,5,0
2976,75.93358,47.74976,1990,US,6,5,0
3225,75.61754,47.925377,1991,US,1,6,0
3278,75.558304,47.12964,1992,CA,5,6,0
3333,75.47481,48.20849,1992,CA,5,6,0
3399,75.556694,47.675423,1992,US,2,6,0
3471,75.51646,46.999905,1992,US,2,6,0
3852,74.84947,45.915024,1994,CA,5,6,0
3911,63.588867,-24.39227,1995,AU,3,1,0
3930,61.281445,-16.731848,1995,US,2,5,0
3997,61.507584,-16.393898,1995,US,1,6,0
4011,58.815624,-15.169612,1995,US,1,6,0
4012,60.47761,35.64938,1995,US,1,6,0
4034,59.668095,36.354046,1995,US,3,1,0
4185,-10.459283,63.340576,1996,US,2,5,0
4210,23.482647,45.01544,1996,US,1,1,0
4404,22.98431,46.46237,1997,US,1,6,0
4419,11.249361,46.732185,1997,US,2,5,0
4616,11.313816,46.75835,1998,US,2,1,0
4642,10.143252,45.707043,1998,US,1,1,0
4679,7.425046,48.075233,1998,US,2,6,0
4888,6.812198,47.592438,1999,US,1,6,0
4912,4.932933,45.163013,1999,US,1,6,0
5005,-7.7685184,27.236525,1999,US,1,6,0
437,-7.958698,26.84006,1971,US,2,6,1
728,-8.0487385,26.637428,1974,US,1,6,1
1589,-8.168206,25.287865,1982,US,1,6,0
2023,-8.709316,25.312529,1985,LI,5,6,0
3010,87.48247,5.499894,1991,CA,7,6,0
3478,85.84507,8.249358,1993,US,1,5,0
3751,85.35692,7.794847,1994,US,2,6,0
4956,84.3608,7.7761755,1999,FR,3,6,0
4987,85.9073,8.103341,1999,US,2,6,0
163,86.16028,8.25322,1966,US,1,6,1
704,85.8472,8.111587,1974,US,2,6,1
2662,86.69616,7.858973,1989,BM,1,6,0
2710,87.29883,8.713389,1989,US,1,6,0
2862,23.229845,6.7917542,1990,US,1,6,0
2881,78.24627,10.129541,1990,US,1,5,0
3084,-19.520796,29.874588,1991,US,1,6,0
3226,-17.654173,-31.59791,1991,US,2,6,0
4139,-17.191303,-31.59241,1996,US,2,6,0
4315,-16.692513,-31.646688,1997,KR,1,6,0
4606,-8.187386,-37.34489,1998,FI,3,6,0
4700,-7.5974274,-28.52297,1998,US,2,6,0
141,-20.99162,28.791204,1966,US,1,6,1
425,-20.130919,29.6282,1970,PE,1,6,1
655,35.088326,-43.449066,1973,US,2,6,1
697,35.35842,-44.015198,1974,US,1,6,1
1232,34.15443,-43.49922,1978,US,2,6,0
1482,41.699738,24.29801,1981,US,1,6,0
1848,38.709145,19.106993,1984,US,1,6,0
3019,38.655712,19.13905,1991,US,2,6,0
3024,26.747602,-0.75764024,1991,US,2,6,0
3034,26.586378,-0.6198496,1991,US,1,6,0
3375,26.211077,-0.39300722,1992,US,2,6,0
4356,26.257961,-0.1090877,1997,US,1,2,0
4441,26.295143,-0.36816573,1997,FI,3,6,0
325,70.075066,-0.70846516,1969,US,2,6,1
418,8.048445,-15.26496,1970,US,1,6,1
588,46.836105,-11.198718,1973,US,2,3,1
1315,46.845867,-11.196374,1979,US,2,3,0
3080,84.97105,3.4045336,1991,US,1,3,0
3322,87.626144,4.7440476,1992,US,1,6,0
3373,36.402092,0.8486245,1992,US,1,5,0
3438,-75.555145,15.59818,1992,US,4,3,0
3776,-76.188896,15.156582,1994,US,1,6,0
3844,-31.772932,-4.824931,1994,US,2,3,0
4602,35.22546,-43.371117,1998,GB,1,6,0
4627,35.217644,-43.355812,1998,US,1,6,0
4655,35.225163,-43.314766,1998,US,1,6,0
4849,34.267517,-43.471478,1999,US,2,6,0
4913,87.706245,5.444369,1999,US,1,6,0
74,31.933105,-49.763092,1964,MX,1,6,1
608,32.1484,-49.75942,1973,US,1,6,1
1263,34.00112,-58.445805,1979,US,2,6,0
2060,34.024994,-58.43159,1985,US,1,6,0
3501,-21.213682,39.261166,1993,US,1,6,0
4340,-24.222937,41.449257,1997,US,4,6,0
209,-24.154905,41.200615,1967,US,1,6,1
689,37.97717,-4.2350698,1974,US,1,6,1
3467,63.046745,55.3079,1992,US,1,6,0
4033,63.15782,54.856987,1995,HK,1,6,0
4619,63.038586,54.760174,1998,US,1,6,0
971,62.966114,55.383667,1976,US,1,6,0
1469,63.674763,55.385246,1981,US,2,6,0
1952,66.097374,53.28594,1985,US,2,6,0
2495,66.35403,53.38383,1988,US,1,6,0
3768,66.88344,53.71564,1994,US,1,6,0
3773,22.152922,12.308101,1994,US,2,5,0
3986,22.148941,12.121934,1995,US,1,6,0
687,6.17716,33.309383,1974,US,1,6,1
729,45.788914,-41.440308,1974,US,6,1,1
2342,34.895554,-57.80438,1987,US,2,6,0
2696,23.006847,-28.026407,1989,DE,3,6,0
2962,33.357044,-61.071884,1990,US,1,3,0
3025,33.30823,-61.38934,1991,US,2,6,0
1330,30.401402,-63.41429,1980,US,6,6,0
1533,65.277565,-42.297176,1981,US,1,5,0
1959,65.81864,-41.696247,1985,US,1,1,0
1984,70.09937,-30.924555,1985,US,1,1,0
2001,77.14864,-29.037582,1985,US,2,6,0
2388,76.61835,-28.890675,1987,US,2,6,0
2923,-39.36304,-13.601259,1990,FR,3,6,0
3430,14.5603695,-33.961014,1992,US,1,3,0
4932,-53.13162,-5.9793777,1999,CA,3,6,0
329,-58.841373,-33.870434,1969,US,6,6,1
440,-23.897055,7.952931,1971,US,2,1,1
449,-5.2250395,-79.695175,1971,US,2,1,1
451,25.445753,-24.023397,1971,US,1,6,1
680,-38.079693,-33.56751,1974,DE,3,6,1
890,-29.049639,-47.034454,1975,US,6,6,0
2335,-32.000977,-64.78766,1987,US,2,5,0
3384,22.728487,-25.865368,1992,IL,7,6,0
