id,x,y,year,country,people,tech,counts
761,9.490733,-15.753138,1975,US,6,6,0
276,8.90659,-15.633269,1968,US,4,6,1
833,8.2176285,-15.334355,1975,US,1,5,0
3845,35.3348,-42.384724,1994,US,2,6,0
430,9.577905,-15.777009,1971,US,6,6,1
4187,87.76777,5.453974,1996,US,2,6,0
509,69.86773,-0.70399433,1972,US,1,6,1
1906,17.654833,0.5911296,1984,US,4,6,0
993,31.985674,-68.1093,1976,US,1,6,0
3495,51.11708,-38.62285,1993,US,2,6,0
1338,10.424426,-34.237537,1980,US,1,5,0
2128,-34.318115,-68.9829,1986,DE,3,1,0
4221,-38.381313,-70.85412,1996,US,2,1,0
1427,22.521149,-5.198597,1980,US,1,6,0
1589,23.017057,-4.418436,1982,US,1,6,0
3235,27.344332,-1.1860528,1991,US,1,6,0
1653,53.574123,-12.666204,1982,US,1,6,0
2881,54.28859,-53.75169,1990,US,1,5,0
2190,13.06644,22.814157,1986,US,1,6,0
3019,26.247322,25.136984,1991,US,2,6,0
2620,17.998083,61.967693,1989,US,1,6,0
4627,14.255978,60.029434,1998,US,1,6,0
2369,13.600623,60.34045,1987,US,1,6,0
2894,5.528413,61.135204,1990,US,1,6,0
4913,10.301631,59.983887,1999,US,1,6,0
4027,10.313417,59.066147,1995,US,1,6,0
4815,10.293489,58.79053,1999,US,1,6,0
3678,62.109974,34.56776,1994,US,2,6,0
4570,62.302044,34.889477,1998,US,1,6,0
2682,62.13247,35.24832,1989,US,2,6,0
3130,61.85918,35.359573,1991,US,1,4,0
2512,62.6223,35.036907,1988,US,2,6,0
3465,54.553745,35.779125,1992,US,2,2,0
3797,54.009384,35.81705,1994,US,2,2,0
3091,16.607971,72.83628,1991,US,1,6,0
3467,20.99795,70.64356,1992,US,1,6,0
4248,21.337626,70.31116,1996,ZA,5,6,0
3322,22.1337,69.96946,1992,US,1,6,0
3829,20.585005,66.550156,1994,US,1,6,0
2374,20.546759,66.46253,1987,US,1,6,0
4849,17.85196,62.2726,1999,US,2,6,0
3615,30.621948,37.558598,1993,US,1,6,0
4906,30.32623,37.01437,1999,US,4,6,0
4345,70.274414,15.697933,1997,US,2,6,0
4938,70.32783,15.63569,1999,US,1,6,0
2388,70.3834,15.542155,1987,US,2,6,0
3986,5.8789186,46.675816,1995,US,1,6,0
4950,5.9933357,46.39847,1999,US,2,6,0
3773,10.293471,-33.415974,1994,US,2,5,0
4642,10.510908,-33.85456,1998,US,1,1,0
3436,23.709066,45.695805,1992,US,1,6,0
4112,23.654034,45.55983,1996,US,1,6,0
829,12.466679,-16.985853,1975,US,2,6,0
1155,31.016262,9.797494,1978,US,1,6,0
2001,35.638428,2.9150193,1985,US,2,6,0
1761,25.204365,59.48195,1983,GB,1,6,0
2015,23.27806,5.0498533,1985,US,1,6,0
3242,19.800661,45.29505,1991,US,2,6,0
1865,23.568264,8.7931185,1984,US,1,6,0
1913,19.086252,8.5345745,1984,US,2,6,0
3946,73.6595,47.730164,1995,US,2,6,0
4670,74.32539,47.56718,1998,US,1,6,0
3141,74.767426,47.272736,1991,US,1,6,0
4530,75.93358,47.74976,1998,US,2,3,0
3325,75.61754,47.925377,1992,US,2,6,0
4468,75.558304,47.12964,1997,US,2,3,0
3761,75.47481,48.20849,1994,US,2,3,0
4599,75.556694,47.675423,1998,US,2,3,0
4489,75.51646,46.999905,1998,US,2,3,0
4930,74.84947,45.915024,1999,US,2,6,0
2817,63.588867,-24.39227,1990,US,1,6,0
4139,61.281445,-16.731848,1996,US,2,6,0
4820,61.507584,-16.393898,1999,US,2,6,0
1949,58.815624,-15.169612,1985,DE,3,6,0
3957,60.47761,35.64938,1995,US,1,3,0
4742,59.668095,36.354046,1998,US,1,4,0
1766,-10.459283,63.340576,1983,US,1,4,0
3083,23.482647,45.01544,1991,US,1,6,0
3768,22.98431,46.46237,1994,US,1,6,0
3784,11.249361,46.732185,1994,US,2,6,0
4658,11.313816,46.75835,1998,US,1,6,0
3097,10.143252,45.707043,1991,US,4,6,0
4137,7.425046,48.075233,1996,US,1,6,0
4695,6.812198,47.592438,1998,US,2,6,0
4894,4.932933,45.163013,1999,US,1,5,0
4025,-7.7685184,27.236525,1995,US,2,5,0
4933,-7.958698,26.84006,1999,US,1,6,0
2828,-8.0487385,26.637428,1990,JP,3,6,0
3698,-8.168206,25.287865,1994,DE,3,6,0
4984,-8.709316,25.312529,1999,DE,3,6,0
3871,87.48247,5.499894,1994,US,2,6,0
4560,85.84507,8.249358,1998,US,2,3,0
4838,85.35692,7.794847,1999,US,2,3,0
2592,84.3608,7.7761755,1989,US,2,3,0
4727,85.9073,8.103341,1998,US,2,3,0
4536,86.16028,8.25322,1998,US,2,3,0
4833,85.8472,8.111587,1999,US,2,3,0
4798,86.69616,7.858973,1999,US,1,3,0
1342,87.29883,8.713389,1980,US,1,3,0
793,23.229845,6.7917542,1975,US,6,6,0
3025,78.24627,10.129541,1991,US,2,6,0
2237,-19.520796,29.874588,1987,US,1,5,0
2488,-17.654173,-31.59791,1988,JP,3,6,0
4208,-17.191303,-31.59241,1996,JP,5,6,0
2646,-16.692513,-31.646688,1989,JP,3,6,0
4238,-8.187386,-37.34489,1996,SA,1,1,0
304,-7.5974274,-28.52297,1969,US,2,5,1
2503,-20.99162,28.791204,1988,FR,2,6,0
4987,-20.130919,29.6282,1999,US,2,6,0
4669,35.088326,-43.449066,1998,US,2,5,0
4875,35.35842,-44.015198,1999,US,1,6,0
971,34.15443,-43.49922,1976,US,1,6,0
3168,41.699738,24.29801,1991,US,1,6,0
4145,38.709145,19.106993,1996,US,1,1,0
4752,38.655712,19.13905,1998,JP,3,4,0
4445,26.747602,-0.75764024,1997,US,1,6,0
4613,26.586378,-0.6198496,1998,US,1,6,0
3349,26.211077,-0.39300722,1992,US,1,6,0
3155,26.257961,-0.1090877,1991,US,1,6,0
3589,26.295143,-0.36816573,1993,US,1,6,0
4538,70.075066,-0.70846516,1998,US,1,6,0
667,8.048445,-15.26496,1974,US,1,6,1
2236,46.836105,-11.198718,1987,US,1,6,0
4855,46.845867,-11.196374,1999,IL,1,6,0
2298,84.97105,3.4045336,1987,US,2,6,0
4897,87.626144,4.7440476,1999,FR,2,6,0
3116,36.402092,0.8486245,1991,US,6,6,0
2528,-75.555145,15.59818,1988,US,2,6,0
4886,-76.188896,15.156582,1999,US,2,5,0
1130,-31.772932,-4.824931,1977,US,2,6,0
4989,35.22546,-43.371117,1999,US,1,6,0
4741,35.217644,-43.355812,1998,US,2,1,0
4964,35.225163,-43.314766,1999,SG,1,6,0
1944,34.267517,-43.471478,1985,US,2,6,0
4860,87.706245,5.444369,1999,US,2,6,0
4997,31.933105,-49.763092,1999,IT,3,6,0
3997,32.1484,-49.75942,1995,US,1,6,0
391,34.00112,-58.445805,1970,US,2,6,1
434,34.024994,-58.43159,1971,US,2,6,1
2766,-21.213682,39.261166,1989,US,1,6,0
4430,-24.222937,41.449257,1997,CA,1,5,0
2532,-24.154905,41.200615,1988,US,1,5,0
4874,37.97717,-4.2350698,1999,US,2,6,0
4240,63.046745,55.3079,1996,US,1,6,0
4867,63.15782,54.856987,1999,US,1,6,0
3306,63.038586,54.760174,1992,US,1,6,0
5008,62.966114,55.383667,1999,US,1,6,0
2617,63.674763,55.385246,1989,US,1,6,0
4003,66.097374,53.28594,1995,US,2,6,0
4902,66.35403,53.38383,1999,US,1,6,0
3435,66.88344,53.71564,1992,US,1,6,0
4144,22.152922,12.308101,1996,US,1,6,0
4603,22.148941,12.121934,1998,US,1,6,0
2125,6.17716,33.309383,1986,US,1,6,0
3517,45.788914,-41.440308,1993,US,2,6,0
4205,34.895554,-57.80438,1996,US,2,6,0
4233,23.006847,-28.026407,1996,US,2,6,0
4290,33.357044,-61.071884,1997,US,2,5,0
4650,33.30823,-61.38934,1998,US,2,6,0
2409,30.401402,-63.41429,1987,US,2,5,0
4832,65.277565,-42.297176,1999,SE,3,6,0
2696,65.81864,-41.696247,1989,DE,3,6,0
4700,70.09937,-30.924555,1998,US,2,6,0
3226,77.14864,-29.037582,1991,US,2,6,0
4679,76.61835,-28.890675,1998,US,2,6,0
230,-39.36304,-13.601259,1967,US,2,5,1
320,14.5603695,-33.961014,1969,US,2,6,1
525,-53.13162,-5.9793777,1972,US,2,6,1
2087,-58.841373,-33.870434,1986,GB,3,6,0
727,-23.897055,7.952931,1974,GB,7,6,1
870,-5.2250395,-79.695175,1975,US,6,6,0
946,25.445753,-24.023397,1976,US,1,6,0
2615,-38.079693,-33.56751,1989,US,2,6,0
964,-29.049639,-47.034454,1976,US,1,6,0
3223,-32.000977,-64.78766,1991,CH,3,6,0
