id,x,y,year,country,people,tech,counts
761,-40.65944,1.7821343,1975,US,6,6,0
430,-43.97567,-34.504333,1971,US,6,6,1
276,-58.972843,-45.251854,1968,US,4,6,1
509,-65.55808,-48.576447,1972,US,1,6,1
4538,-65.97488,-48.996643,1998,US,1,6,0
46,-62.60589,-51.368546,1964,US,1,6,1
2566,-58.607338,-45.901997,1988,US,1,6,0
4090,-63.278442,-46.38167,1996,US,1,6,0
793,14.792585,-55.721817,1975,US,6,6,0
3083,-2.0087256,-44.808857,1991,US,1,6,0
4112,-1.4665896,-45.484776,1996,US,1,6,0
3436,-1.0793025,-46.2171,1992,US,1,6,0
3986,-1.7968917,-45.046314,1995,US,1,6,0
4894,3.3623848,-36.441757,1999,US,1,5,0
4025,3.4885843,-36.353874,1995,US,2,5,0
4419,3.408749,-36.524254,1997,US,2,5,0
1338,2.7496326,-36.055363,1980,US,1,5,0
2118,-24.038992,-2.3202708,1986,US,2,1,0
4233,-23.63122,-1.7475952,1996,US,2,6,0
993,-23.541185,-1.5299704,1976,US,1,6,0
2015,-23.543102,-1.4919128,1985,US,1,6,0
3242,-40.661777,1.8054873,1991,US,2,6,0
3773,31.382248,5.234636,1994,US,2,5,0
4642,31.448444,5.77563,1998,US,1,1,0
4185,-29.042435,-61.086914,1996,US,2,5,0
3997,-37.385506,-56.169334,1995,US,1,6,0
4412,-23.852766,-55.55943,1997,US,6,5,0
2929,-24.216505,-54.890034,1990,US,2,6,0
4084,-24.199413,-54.924656,1995,US,1,6,0
2976,-17.035372,-41.63023,1990,US,6,5,0
4616,-15.181479,-31.289938,1998,US,2,1,0
2627,40.977512,21.170097,1989,US,2,6,0
3399,40.970966,21.163574,1992,US,2,6,0
4565,40.996803,21.626265,1998,US,2,6,0
3784,40.24801,22.061108,1994,US,2,6,0
4137,39.9087,22.270702,1996,US,1,6,0
4660,39.86962,22.265793,1998,US,1,6,0
1155,-42.95839,-37.396904,1978,US,1,6,0
1865,-42.939877,-36.619507,1984,US,1,6,0
2682,-43.472054,-33.893818,1989,US,2,6,0
3871,-51.145508,-28.466326,1994,US,2,6,0
4500,-47.307663,-28.808626,1998,US,2,6,0
4830,-47.174797,-28.8968,1999,US,2,6,0
218,7.928388,-39.066235,1967,US,1,6,1
